date,NDVI
2000-01-06,0.124221306852049
2000-06-30,-0.3342395366725518
2000-08-17,0.22409578367423694
2000-10-20,0.2859781187940893
2000-12-23,0.07506878010458778
2001-04-14,0.12712630735019195
2001-04-30,0.20665049499885166
2001-07-03,0.46745465977564316
2001-10-07,0.3632194634665713
2001-11-08,0.18458911407554152
2002-01-27,0.11147302711372985
2002-02-28,0.13940815775925644
2002-04-17,0.17566043089991737
2002-05-03,0.3066014039807075
2002-06-20,0.4586842222461638
2002-07-06,0.43551654809003953
2002-07-22,0.429156969339452
2002-08-07,0.43453102878334743
2002-09-08,0.4112788287965169
2002-12-29,0.05018926407977872
2003-01-14,0.1258365062225469
2003-03-03,0.027441004264366006
2003-07-25,0.45842787261736095
2003-10-13,0.3525786845106028
2003-11-14,0.17446749087248822
2003-12-16,0.04371593287528702
2004-01-01,
2004-02-02,0.03624254017356379
2004-04-06,
2004-05-08,-0.3541212211121138
2004-06-09,0.49274424255624905
2004-07-11,0.4889330140916403
2004-08-28,0.4297338982633078
2004-09-13,0.41423764693014037
2004-10-31,0.24194302216076943
2005-04-09,0.14197177635120675
2005-05-27,0.48539240634023034
2005-10-02,0.3496782579194192
2005-10-18,
2005-11-03,0.24684551290866277
2005-11-19,0.16833821337566465
2006-02-07,0.051402247710340875
2006-03-11,0.13330808728983357
2006-03-27,0.13238836456697894
2006-04-28,0.2129231098529484
2006-05-30,
2006-07-01,0.4550856189419543
2006-07-17,
2006-08-02,0.43046025706925817
2006-09-03,0.27148389112140026
2006-09-19,0.3812874763795769
2006-10-21,0.2807362382855617
2006-11-06,0.18479663037670083
2006-12-24,0.09713627827268739
2007-03-30,0.12367437787678805
2007-06-02,0.48222046074141334
2007-06-18,0.49683287671671883
2007-08-05,
2007-10-08,0.3734408681209073
2007-11-25,0.1760417994488808
2008-01-12,0.11483653703099775
2008-01-28,0.1488455739713549
2008-02-29,
2008-04-17,0.14080116846132557
2008-06-20,0.5163409944689203
2008-08-23,0.46170257805009496
2008-09-08,0.4332383074628328
2008-10-10,0.38877897542901835
