date,SoilMoi0_10cm_inst,SoilMoi10_40cm_inst,Tair_f_inst,Rainf_f_tavg,Evap_tavg
2000-01-01,25.13368408786904,78.27861677184897,276.0981514560831,0.0,5.152898819265483E-7
2000-01-02,27.85882692160896,80.36720591925065,281.59857854113415,4.220817959621686E-5,-4.2387698812787846E-7
2000-01-03,28.39448427084568,82.51303968203099,286.63265628865025,7.534762693164837E-5,1.2801974116642802E-6
2000-01-04,29.79394743121708,86.95800519555729,287.10384262205747,1.6703282435772337E-4,9.663434706643278E-7
2000-01-05,27.71789311733598,86.27468789535965,277.1926352468204,2.148341070401413E-5,3.4489738394489842E-6
2000-01-06,26.666030058445592,82.64615256679404,270.2306888952733,3.876978779481522E-7,3.3007197982015295E-6
2000-01-07,25.904404079064843,81.05677646445724,275.55690256083545,1.258311308363456E-6,8.260640454427438E-7
2000-01-08,25.19059607473086,79.47731954126684,272.4495017018985,1.744722989594993E-8,1.8566345030232892E-6
2000-01-09,25.449052689886976,77.93101018336958,276.1198467164052,3.476675503363828E-5,2.8375595865276946E-6
2000-01-10,27.61856782656546,79.16659714993197,279.10189376468713,8.571421517744798E-5,-3.369381036435095E-7
2000-01-11,26.617697365994818,80.87969201724573,280.3467213170195,1.98707127549399E-6,1.5321020076003283E-6
2000-01-12,25.400909665392067,79.53738757614096,275.5572930086886,0.0,2.8098487857906816E-6
2000-01-13,25.739058164933738,78.43336480777306,273.11914449002313,3.7231497750844864E-5,1.513062434337863E-6
2000-01-14,25.932457136290054,77.79993328003896,264.6529864711309,0.0,4.533712495268352E-6
2000-01-15,25.91028354916535,77.46326899465596,263.5989718072333,1.3489446067929216E-8,1.591411756217801E-6
2000-01-16,26.01525310727726,77.46009736073678,271.3663138437397,2.7298482902580565E-5,2.5169626045642676E-6
2000-01-17,26.357891736999346,77.55917448984916,262.64949563059145,0.0,4.327776789409354E-6
2000-01-18,26.344598951314563,77.56302193915937,259.85588045548013,6.338423661100382E-6,2.614169316699205E-6
2000-01-19,26.336792057611067,77.56302193915937,264.0932826542917,2.2753627341818728E-6,3.2591645113323967E-6
2000-01-20,26.330647727744875,77.56302193915937,266.65259086991364,4.1561676762932984E-5,3.4645660882310435E-6
