date,NDVI
2017-01-16,0.34600754029609854
2017-02-02,0.16801034638377954
2017-03-17,0.02615467184136256
2017-03-29,0.34646195677861413
2017-04-08,0.1458151531964716
2017-04-11,0.30690808480573584
2017-04-18,0.35990414732413933
2017-04-23,0.3873455604773566
2017-04-28,0.43181112792573634
2017-05-21,0.885139218612859
2017-06-12,0.9094289624609238
2017-06-20,0.9354444375960044
2017-07-02,0.9260346949688096
2017-07-30,0.932021643199906
2017-08-01,0.907186094624237
2017-08-09,0.8994522891227243
2017-08-16,0.9012625380747652
2017-08-21,0.8853739315475935
2017-08-24,0.8984412638146757
2017-08-26,0.8605018237102793
2017-09-10,0.8770757416471258
2017-09-23,0.9160946487270012
2017-09-25,0.8650460976276517
2017-09-28,0.9026860380158611
2017-10-03,0.8717302215995348
2017-10-18,0.704645146344351
2017-10-20,0.6729434720020572
2017-11-17,0.5047212079953851
2017-11-29,0.4248356292870367
2017-12-07,0.42490793285641515
2017-12-14,0.12347558593642512
2017-12-27,0.18970498291730492
2018-01-01,0.15727728366133567
2018-01-13,0.09315500092064546
2018-01-18,0.11897146340876597
2018-01-26,0.37304972888454524
2018-02-05,0.4188884565990572
2018-02-27,0.3541333508970788
2018-03-17,0.338983137440761
2018-03-19,0.3280324412478295
2018-03-24,0.33108154682065344
2018-04-21,0.3396798358176814
2018-04-23,0.3372632786138714
2018-05-01,0.3584276292704104
2018-05-03,0.3939429748548223
2018-05-08,0.7327225865241223
2018-06-12,0.9172996053582432
2018-06-17,0.9134893092988247
2018-06-30,0.9334417004131579
2018-07-02,0.8822135926548127
2018-07-07,0.9282348020180538
2018-07-10,0.9273900314943654
2018-07-12,0.9050745731711434
2018-08-16,0.8391072355609508
2018-08-24,0.8756937441410265
2018-08-26,0.8838417051396259
2018-08-29,0.8820955572443727
2018-09-03,0.8912690086886016
2018-09-05,0.8666098602577389
2018-10-18,0.8662099083347822
2018-10-23,0.6708189757167391
2018-10-25,0.7896825321702741
2018-10-30,0.3422493926785961
2018-11-04,0.5670311331051886
2018-11-07,0.5354387000813321
2018-11-22,0.4512956751302733
2018-12-19,0.4075004347900395
2018-12-27,0.39331350505386364
2019-01-11,0.4046099002780011
2019-01-26,0.24252200107794203
2019-02-10,0.34439370080825277
2019-02-17,0.361175766970958
2019-03-09,0.04849567230169355
2019-03-17,0.34726627523092285
2019-03-19,0.08070085769246173
2019-03-24,0.3372008985796794
2019-04-03,0.32593233803978455
2019-04-06,0.34025613327737686
2019-04-16,0.36545975938114694
2019-04-23,0.4138876223870214
2019-05-11,0.8908827912980876
2019-05-26,0.9366233510708964
2019-05-31,0.7035819783069273
2019-06-22,0.8740445863383142
2019-06-27,0.9178662127605773
2019-07-15,0.9148176843374222
2019-07-25,0.8831012773778009
2019-07-27,0.8410281531609755
2019-07-30,0.8729669778710104
2019-08-01,0.8881154702525814
2019-08-04,0.8971187363658585
2019-08-19,0.8979818752059867
2019-08-24,0.9105354036097952
2019-08-26,0.8857008811604831
2019-08-29,0.9027312828172485
2019-09-03,0.8885725108087072
2019-09-25,0.8367594721693888
2019-10-05,0.8002922923549404
2019-10-15,0.7061272527083496
2019-10-23,0.04609877360585387
2019-11-02,0.5211443644652134
2019-12-19,0.2817320928763923
2019-12-22,0.3956991493953164
2019-12-24,0.4019319147189002
2020-01-21,0.16706853023194385
2020-02-17,0.35810215941658724
2020-03-01,0.2839258911674907
2020-03-21,0.36104640837743945
2020-03-26,0.34839835069306235
2020-04-02,0.33604157730929374
2020-05-02,0.42546266436207286
2020-05-05,0.5841342494158434
2020-05-12,0.714261851446998
2020-05-17,0.841506546827679
2020-05-30,0.9273761143334028
2020-06-09,0.8720834647362911
2020-06-14,0.9306511948582348
2020-06-16,0.9094318550634778
2020-06-26,0.8706154717983475
2020-07-04,0.9254679652103264
2020-07-06,0.9126634159312843
2020-07-19,0.9348040141767215
2020-07-21,0.8998338645309067
2020-07-26,0.8764147359915364
2020-07-29,0.7765403544789201
2020-08-03,0.9219688663765052
2020-08-05,0.2831996174247482
2020-08-10,0.895804007430784
2020-08-20,0.9165153011332376
2020-08-25,0.8562351403331973
2020-09-04,0.8765068873883098
2020-09-19,0.905992912105608
2020-09-22,0.8217644160507748
2020-10-09,0.7085297899615626
2020-10-14,0.7119885666406055
2020-10-17,0.7237459236693179
2020-11-06,0.5221797225433844
2020-11-08,0.47316721717722604
2020-12-03,0.40570710393861575
2020-12-26,0.4061234072478586
2021-01-07,0.4074217437697868
2021-01-12,0.3848668604410579
2021-01-30,0.16431992745457136
2021-02-04,0.055063334045050503
2021-02-06,0.05638518227479994
2021-02-21,0.06651346667651802
2021-02-26,0.05227454928091919
2021-03-03,0.14171359276009668
2021-03-08,0.29851091761608767
2021-03-11,0.3493495612021949
2021-03-13,0.34982619207084925
2021-03-21,0.3594081030089176
2021-04-05,0.34898558362397125
2021-04-20,0.39272211902204557
2021-05-12,0.8734631543454555
2021-05-17,0.8946334741858469
2021-05-27,0.935768171015147
2021-06-06,0.9059993751663462
2021-06-16,0.9245319961469
2021-06-29,0.9212605866095582
2021-07-16,0.8658148909761005
2021-07-31,0.9022806638517797
2021-08-13,0.8961462314427127
2021-09-02,0.35009370325783395
2021-09-07,0.9137118329393963
2021-09-12,0.8512396809151641
2021-09-19,0.9034092094979052
2021-09-24,0.9006282053688821
2021-09-27,0.8668698320124633
2021-09-29,0.8958534329631841
2021-10-19,0.810266850289423
2021-11-01,0.9255001104628551
2021-11-03,0.6589988391715743
2021-11-06,0.6576368617338474
2021-11-16,0.5110829992252005
2021-11-18,0.4644446077958351
2021-12-26,0.41692291724081904
2022-01-27,0.3712927048230747
2022-02-01,0.0924478040049618
2022-02-09,0.3706260616522126
2022-02-26,0.22362762380318413
