date,tmax,tmin,prcp,srad,vp,dayl
2000-01-01,8.949999809265137,-3.450000047683716,0.0,243.69000244140625,473.4700012207031,32804.078125
2000-01-02,13.779999732971191,-1.1100000143051147,0.0,256.1300048828125,563.0800170898438,32846.98828125
2000-01-03,15.029999732971191,5.650000095367432,0.0,203.6999969482422,912.510009765625,32893.421875
2000-01-04,15.460000038146973,8.050000190734863,13.899999618530273,129.08999633789062,1075.6700439453125,32943.3203125
2000-01-05,7.300000190734863,-0.949999988079071,0.0,195.4199981689453,569.75,32996.66015625
2000-01-06,5.800000190734863,-6.960000038146973,0.0,251.92999267578125,362.510009765625,33053.3984375
2000-01-07,7.429999828338623,-4.670000076293945,0.0,246.86000061035156,431.8500061035156,33113.5
2000-01-08,4.099999904632568,-3.2799999713897705,0.0,185.02999877929688,479.510009765625,33176.91015625
2000-01-09,11.140000343322754,-2.059999942779541,3.5,191.99000549316406,525.2000122070312,33243.6015625
2000-01-10,12.119999885559082,2.6600000858306885,25.329999923706055,145.99000549316406,739.489990234375,33313.51171875
2000-01-11,9.699999809265137,3.9100000858306885,0.0,135.05999755859375,807.719970703125,33386.58984375
2000-01-12,7.429999828338623,2.7200000286102295,0.0,114.37999725341797,742.4500122070312,33462.80859375
2000-01-13,2.069999933242798,-4.260000228881836,1.6799999475479126,152.89999389648438,445.3599853515625,33542.1015625
2000-01-14,-4.889999866485596,-11.770000457763672,0.0,167.42999267578125,248.2899932861328,33624.421875
2000-01-15,-1.0399999618530273,-12.739999771118164,0.0,234.6699981689453,229.52000427246094,33709.71875
2000-01-16,5.880000114440918,-9.90999984741211,0.0,258.2300109863281,288.0199890136719,33797.9296875
2000-01-17,-5.889999866485596,-15.15999984741211,0.0,212.1300048828125,188.25999450683594,33889.0
2000-01-18,-8.479999542236328,-17.540000915527344,0.0,211.52999877929688,154.1699981689453,33982.87890625
2000-01-19,-2.799999952316284,-15.59000015258789,0.0,252.22000122070312,181.5500030517578,34079.51171875
2000-01-20,-4.489999771118164,-10.5,4.480000019073486,131.60000610351562,274.79998779296875,34178.828125
